gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills,trap_buys,trap_kills,trap_spend
mp40,0,fixed,,20260729,1-5,5,77.92,238,57,5890,0,0.0,0.000,0,0,0,0
mp40,0,fixed,,20260729,6-10,5,215.20,1391,149,20600,26100,462.0,0.455,2,0,0,0
mp40,0,fixed,,20260729,11-15,5,553.73,3835,253,45990,420348,7459.8,0.941,12,0,0,0
mp40,0,fixed,,20260729,16-20,5,1316.43,9249,372,96270,1405584,24834.1,0.980,33,0,0,0
mp40,0,fixed,,20260729,all,20,2163.28,14713,831,168750,1852032,32755.8,0.594,47,0,0,0
mp40,0,legacy,,20260729,1-5,5,76.15,238,57,5890,0,0.0,0.000,0,0,0,0
mp40,0,legacy,,20260729,6-10,5,229.22,1380,149,20070,35676,635.3,0.494,2,0,0,0
mp40,0,legacy,,20260729,11-15,5,611.52,3831,253,45910,481188,8543.8,0.952,12,0,0,0
mp40,0,legacy,,20260729,16-20,5,1444.97,9237,372,96180,1554360,27476.6,0.982,33,0,0,0
mp40,0,legacy,,20260729,all,20,2361.85,14686,831,168050,2071224,36655.7,0.607,47,0,0,0
ak74u,0,fixed,,20260729,1-5,5,75.87,201,57,5250,0,0.0,0.000,0,0,0,0
ak74u,0,fixed,,20260729,6-10,5,202.85,1092,149,18470,15984,282.2,0.378,1,0,0,0
ak74u,0,fixed,,20260729,11-15,5,526.45,3047,253,40570,390192,6910.4,0.938,8,0,0,0
ak74u,0,fixed,,20260729,16-20,5,1202.03,7066,372,79560,1264908,22346.9,0.979,24,0,0,0
ak74u,0,fixed,,20260729,all,20,2007.20,11406,831,143850,1671084,29539.5,0.574,33,0,0,0
ak74u,0,legacy,,20260729,1-5,5,77.88,201,57,5250,0,0.0,0.000,0,0,0,0
ak74u,0,legacy,,20260729,6-10,5,215.22,1092,149,18310,25476,440.9,0.460,1,0,0,0
ak74u,0,legacy,,20260729,11-15,5,569.68,3047,253,40610,442404,7837.6,0.947,8,0,0,0
ak74u,0,legacy,,20260729,16-20,5,1303.28,7066,372,79560,1383528,24429.5,0.980,24,0,0,0
