gun,pap,cadence,perks,seed,round,dog,count,hp_each,total_hp,max_alive,spawn_interval,walk,run,sprint,time_to_clear_s,shots,hits,kills,reload_s,hp_per_s,points,drops,refills,damage_taken,hp_bars,contact_frac,contact_zsec,peak_alive,first_contact_s,trap_buys,trap_kills,trap_spend,wallet
mp40,0,fixed,,20260729,1,0,6,150,900,24,1.379,6,0,0,8.92,13,10,6,6.95,100.9,560,0,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,1060
mp40,0,fixed,,20260729,2,0,10,250,2500,24,1.375,10,0,0,16.27,36,24,10,13.90,153.7,940,1,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,2000
mp40,0,fixed,,20260729,3,0,14,350,4900,24,1.323,14,0,0,20.33,60,47,14,16.22,241.0,1410,1,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,3410
mp40,0,fixed,,20260729,4,0,18,450,8100,24,1.324,18,0,0,25.47,100,79,18,18.53,318.1,1890,2,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,5300
mp40,0,fixed,,20260729,5,1,9,550,3069,8,0.700,6,3,0,7.73,41,28,9,4.63,396.9,930,0,0,0,0.0,0.000,0.0,4,-1.00,0,0,0,6230
mp40,0,fixed,,20260729,6,0,27,650,17290,24,1.197,18,9,0,34.32,220,162,27,18.53,503.8,3490,1,0,60,0.6,0.003,0.1,4,24.55,0,0,0,9720
mp40,0,fixed,,20260729,7,0,31,750,22200,24,1.129,17,14,0,44.63,300,204,31,23.17,497.4,4070,3,1,2760,27.6,0.373,45.6,8,27.70,0,0,0,13790
mp40,0,fixed,,20260729,8,0,36,850,30090,24,1.113,26,10,0,57.28,382,274,36,30.12,525.3,5340,4,1,9960,99.6,0.680,168.3,12,18.27,0,0,0,19130
mp40,0,fixed,,20260729,9,0,41,950,38000,24,1.093,15,26,0,75.12,505,348,41,39.38,505.9,6090,2,1,28920,289.2,0.870,506.5,19,6.58,0,0,0,25220
mp40,0,fixed,,20260729,10,1,14,1045,9071,8,0.441,2,10,2,18.48,128,82,14,9.27,490.7,1640,0,0,2736,27.4,0.719,61.5,8,5.20,0,0,0,26860
mp40,0,fixed,,20260729,11,0,51,1150,58420,24,0.969,13,31,7,104.97,736,531,51,53.28,556.6,8580,3,2,70380,703.8,0.938,1239.0,24,6.25,0,0,0,35440
mp40,0,fixed,,20260729,12,0,56,1265,69575,24,0.951,18,32,6,135.13,941,632,56,69.50,514.9,10040,4,3,104940,1049.4,0.960,1852.4,24,5.08,0,0,0,45480
mp40,0,fixed,,20260729,13,0,61,1392,82963,24,0.879,5,36,20,156.97,1091,744,61,81.08,528.5,11210,3,4,142020,1420.2,0.968,2505.5,24,5.05,0,0,0,56690
mp40,0,fixed,,20260729,14,0,67,1531,100127,24,0.857,11,29,27,179.18,1247,895,67,92.67,558.8,13180,4,4,168540,1685.4,0.977,2976.8,24,4.15,0,0,0,69870
mp40,0,fixed,,20260729,15,1,18,1684,18793,8,0.218,0,11,7,35.07,236,167,18,18.53,535.9,2810,1,0,7488,74.9,0.928,177.0,8,2.48,0,0,0,72680
mp40,0,fixed,,20260729,16,0,78,1852,141122,24,0.750,8,33,37,255.98,1799,1285,78,132.05,551.3,17750,4,6,263400,2634.0,0.981,4633.0,24,2.97,0,0,0,90430
mp40,0,fixed,,20260729,17,0,83,2037,167034,24,0.715,0,27,56,308.48,2166,1486,83,159.85,541.5,19930,3,8,337380,3373.8,0.987,5937.6,24,3.97,0,0,0,110360
mp40,0,fixed,,20260729,18,0,89,2241,195863,24,0.669,0,35,54,350.00,2471,1740,89,180.70,559.6,23170,4,9,389820,3898.2,0.991,6864.8,24,3.23,0,0,0,133530
mp40,0,fixed,,20260729,19,1,21,2465,32094,8,0.199,0,6,15,61.72,424,291,21,32.43,520.0,4280,0,1,15696,157.0,0.961,373.9,8,2.40,0,0,0,137810
mp40,0,fixed,,20260729,20,0,101,2712,271742,24,0.609,0,36,65,483.97,3430,2401,101,250.20,561.5,30740,3,13,561420,5614.2,0.993,9909.0,24,3.20,0,0,0,168550
mp40,0,legacy,,20260729,1,0,6,150,900,24,1.379,6,0,0,9.00,13,10,6,6.95,100.0,560,0,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,1060
mp40,0,legacy,,20260729,2,0,10,250,2500,24,1.375,10,0,0,14.42,36,24,10,11.58,173.4,940,1,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,2000
mp40,0,legacy,,20260729,3,0,14,350,4900,24,1.323,14,0,0,18.80,60,47,14,13.90,260.6,1410,1,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,3410
mp40,0,legacy,,20260729,4,0,18,450,8100,24,1.324,18,0,0,24.52,100,79,18,16.22,330.4,1890,2,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,5300
mp40,0,legacy,,20260729,5,1,9,550,3069,8,0.700,6,3,0,8.23,41,28,9,4.63,372.8,930,0,0,0,0.0,0.000,0.0,4,-1.00,0,0,0,6230
mp40,0,legacy,,20260729,6,0,27,650,17290,24,1.197,18,9,0,37.45,220,162,27,18.53,461.7,3450,1,0,0,0.0,0.005,0.2,5,27.32,0,0,0,9680
mp40,0,legacy,,20260729,7,0,31,750,22200,24,1.129,17,14,0,51.05,300,204,31,25.48,434.9,4030,3,1,5160,51.6,0.509,90.1,10,12.72,0,0,0,13710
mp40,0,legacy,,20260729,8,0,36,850,30090,24,1.113,26,10,0,62.55,382,274,36,30.12,481.1,5340,4,1,13080,130.8,0.741,223.4,12,8.67,0,0,0,19050
