gun,pap,cadence,perks,seed,round,dog,count,hp_each,total_hp,max_alive,spawn_interval,walk,run,sprint,time_to_clear_s,shots,hits,kills,reload_s,hp_per_s,points,drops,refills,damage_taken,hp_bars,contact_frac,contact_zsec,peak_alive,first_contact_s
mp40,0,fixed,,20260729,1,0,6,150,900,24,1.379,6,0,0,8.92,13,10,6,6.95,100.9,560,0,0,0,0.0,0.000,0.0,2,-1.00
mp40,0,fixed,,20260729,2,0,10,250,2500,24,1.375,10,0,0,16.20,35,25,10,13.90,154.3,950,1,0,0,0.0,0.000,0.0,2,-1.00
mp40,0,fixed,,20260729,3,0,14,350,4900,24,1.323,14,0,0,20.33,60,47,14,16.22,241.0,1410,1,0,0,0.0,0.000,0.0,3,-1.00
mp40,0,fixed,,20260729,4,0,18,450,8100,24,1.324,18,0,0,25.00,93,78,18,18.53,324.0,1920,2,0,0,0.0,0.000,0.0,3,-1.00
mp40,0,fixed,,20260729,5,1,9,550,3069,8,0.700,6,3,0,7.47,37,28,9,4.63,411.0,1050,0,0,0,0.0,0.000,0.0,3,-1.00
mp40,0,fixed,,20260729,6,0,27,650,17290,24,1.197,18,9,0,35.20,203,161,27,20.85,491.2,3360,1,0,0,0.0,0.005,0.2,4,26.23
mp40,0,fixed,,20260729,7,0,31,750,22200,24,1.129,17,14,0,42.45,268,204,31,23.17,523.0,4150,4,0,840,8.4,0.230,15.1,7,29.17
mp40,0,fixed,,20260729,8,0,36,850,30090,24,1.113,26,10,0,53.20,354,274,36,27.80,565.6,5180,3,1,6000,60.0,0.595,100.4,9,18.55
mp40,0,fixed,,20260729,9,0,41,950,38000,24,1.093,15,26,0,67.03,455,347,41,34.75,566.9,6160,2,1,17280,172.8,0.744,299.5,15,14.68
mp40,0,fixed,,20260729,10,1,14,1045,9071,8,0.441,2,10,2,17.32,111,85,14,9.27,523.8,1750,1,0,1980,19.8,0.700,46.8,8,5.20
mp40,0,fixed,,20260729,11,0,51,1150,58420,24,0.969,13,31,7,99.48,688,536,51,50.97,587.2,8630,2,2,61080,610.8,0.932,1073.0,24,6.25
mp40,0,fixed,,20260729,12,0,56,1265,69575,24,0.951,18,32,6,120.83,833,634,56,62.55,575.8,9900,4,3,89640,896.4,0.931,1583.0,24,6.18
mp40,0,fixed,,20260729,13,0,61,1392,82963,24,0.879,5,36,20,140.73,983,751,61,71.82,589.5,11480,3,3,118740,1187.4,0.964,2099.2,24,5.05
mp40,0,fixed,,20260729,14,0,67,1531,100127,24,0.857,11,29,27,160.80,1108,888,67,83.40,622.7,13110,4,4,143760,1437.6,0.958,2536.3,24,4.15
mp40,0,fixed,,20260729,15,1,18,1684,18793,8,0.218,0,11,7,31.88,223,169,18,16.22,589.4,2870,1,0,7128,71.3,0.922,168.3,8,2.48
mp40,0,fixed,,20260729,16,0,78,1852,141122,24,0.750,8,33,37,228.18,1593,1272,78,118.15,618.5,17780,3,6,234420,2344.2,0.978,4125.8,24,2.97
mp40,0,fixed,,20260729,17,0,83,2037,167034,24,0.715,0,27,56,276.55,1933,1497,83,143.63,604.0,20200,3,7,298980,2989.8,0.985,5257.3,24,4.22
mp40,0,fixed,,20260729,18,0,89,2241,195863,24,0.669,0,35,54,320.03,2265,1745,89,164.48,612.0,23180,4,8,354660,3546.6,0.990,6239.3,24,3.23
mp40,0,fixed,,20260729,19,1,21,2465,32094,8,0.199,0,6,15,55.57,367,287,21,30.12,577.6,4240,1,1,13644,136.4,0.957,325.6,8,2.40
mp40,0,fixed,,20260729,20,0,101,2712,271742,24,0.609,0,36,65,436.10,3091,2410,101,224.72,623.1,30870,2,11,503880,5038.8,0.993,8886.0,24,3.20
mp40,0,fixed,,20260729,21,0,107,2983,312618,24,0.537,0,24,83,494.33,3509,2765,107,254.83,632.4,34520,4,13,575520,5755.2,0.994,10164.5,24,3.10
mp40,0,fixed,,20260729,22,0,113,3281,360910,24,0.487,0,24,89,585.27,4141,3198,113,303.48,616.7,39310,4,16,688740,6887.4,0.994,12166.9,24,3.53
mp40,0,fixed,,20260729,23,1,25,3609,55940,8,0.210,0,2,23,89.57,630,494,25,46.33,624.6,6510,0,2,24084,240.8,0.971,573.6,8,2.58
mp40,0,fixed,,20260729,24,0,125,3970,486722,24,0.405,0,29,96,781.43,5551,4326,125,405.42,622.9,50870,4,21,939420,9394.2,0.996,16621.1,24,3.17
mp40,0,fixed,,20260729,25,0,131,4367,561596,24,0.367,0,25,106,893.67,6364,4970,131,463.33,628.4,58450,4,24,1081260,10812.6,0.996,19146.7,24,3.32
mp40,0,legacy,,20260729,1,0,6,150,900,24,1.379,6,0,0,9.00,13,10,6,6.95,100.0,560,0,0,0,0.0,0.000,0.0,2,-1.00
mp40,0,legacy,,20260729,2,0,10,250,2500,24,1.375,10,0,0,14.33,35,25,10,11.58,174.4,950,1,0,0,0.0,0.000,0.0,2,-1.00
mp40,0,legacy,,20260729,3,0,14,350,4900,24,1.323,14,0,0,18.80,60,47,14,13.90,260.6,1410,1,0,0,0.0,0.000,0.0,3,-1.00
mp40,0,legacy,,20260729,4,0,18,450,8100,24,1.324,18,0,0,26.12,93,78,18,18.53,310.1,1920,2,0,0,0.0,0.000,0.0,3,-1.00
mp40,0,legacy,,20260729,5,1,9,550,3069,8,0.700,6,3,0,7.90,37,28,9,4.63,388.5,1050,0,0,0,0.0,0.000,0.0,4,-1.00
mp40,0,legacy,,20260729,6,0,27,650,17290,24,1.197,18,9,0,35.93,203,161,27,18.53,481.2,3360,1,0,0,0.0,0.000,0.0,4,-1.00
mp40,0,legacy,,20260729,7,0,31,750,22200,24,1.129,17,14,0,43.58,265,201,31,20.85,509.4,4040,4,0,1860,18.6,0.318,30.6,7,11.27
