gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills
mp40,0,fixed,,20260729,1-5,5,77.92,238,57,5890,0,0.0,0.000,0
mp40,0,fixed,,20260729,6-10,5,215.20,1391,149,20600,26100,462.0,0.455,2
mp40,0,fixed,,20260729,11-15,5,553.73,3835,253,45990,420348,7459.8,0.941,12
mp40,0,fixed,,20260729,16-20,5,1316.43,9249,372,96270,1405584,24834.1,0.980,33
mp40,0,fixed,,20260729,21-25,5,2844.27,20195,501,189660,3309024,58672.9,0.990,76
mp40,0,fixed,,20260729,all,25,5007.55,34908,1332,358410,5161056,91428.7,0.673,123
mp40,0,legacy,,20260729,1-5,5,76.15,238,57,5890,0,0.0,0.000,0
mp40,0,legacy,,20260729,6-10,5,229.22,1380,149,20070,35676,635.3,0.494,2
mp40,0,legacy,,20260729,11-15,5,611.52,3831,253,45910,481188,8543.8,0.952,12
mp40,0,legacy,,20260729,16-20,5,1444.97,9237,372,96180,1554360,27476.6,0.982,33
mp40,0,legacy,,20260729,21-25,5,3133.85,20196,501,190620,3659088,64900.9,0.991,76
mp40,0,legacy,,20260729,all,25,5495.70,34882,1332,358670,5730312,101556.6,0.684,123
ak74u,0,fixed,,20260729,1-5,5,75.87,201,57,5250,0,0.0,0.000,0
ak74u,0,fixed,,20260729,6-10,5,202.85,1092,149,18470,15984,282.2,0.378,1
ak74u,0,fixed,,20260729,11-15,5,526.45,3047,253,40570,390192,6910.4,0.938,8
ak74u,0,fixed,,20260729,16-20,5,1202.03,7066,372,79560,1264908,22346.9,0.979,24
ak74u,0,fixed,,20260729,21-25,5,2586.50,15386,501,153470,2996208,53093.2,0.989,53
ak74u,0,fixed,,20260729,all,25,4593.70,26792,1332,297320,4667292,82632.7,0.657,86
ak74u,0,legacy,,20260729,1-5,5,77.88,201,57,5250,0,0.0,0.000,0
ak74u,0,legacy,,20260729,6-10,5,215.22,1092,149,18310,25476,440.9,0.460,1
ak74u,0,legacy,,20260729,11-15,5,569.68,3047,253,40610,442404,7837.6,0.947,8
ak74u,0,legacy,,20260729,16-20,5,1303.28,7066,372,79560,1383528,24429.5,0.980,24
ak74u,0,legacy,,20260729,21-25,5,2809.58,15386,501,153470,3261840,57831.2,0.990,53
ak74u,0,legacy,,20260729,all,25,4975.65,26792,1332,297200,5113248,90539.2,0.676,86
m16,0,fixed,,20260729,1-5,5,77.33,172,57,5120,0,0.0,0.000,0
m16,0,fixed,,20260729,6-10,5,184.02,943,149,17120,5112,89.7,0.210,1
m16,0,fixed,,20260729,11-15,5,447.98,2565,253,35980,292656,5175.9,0.906,7
m16,0,fixed,,20260729,16-20,5,1011.68,5928,372,70690,1050600,18553.7,0.975,19
m16,0,fixed,,20260729,21-25,5,2182.43,12929,501,133650,2525640,44717.8,0.988,45
m16,0,fixed,,20260729,all,25,3903.45,22537,1332,262560,3874008,68537.3,0.616,72
m16,0,legacy,,20260729,1-5,5,77.85,172,57,5120,0,0.0,0.000,0
m16,0,legacy,,20260729,6-10,5,186.25,943,149,17200,5964,102.4,0.228,1
m16,0,legacy,,20260729,11-15,5,454.53,2565,253,36100,301368,5330.8,0.909,7
m16,0,legacy,,20260729,16-20,5,1025.17,5928,372,70690,1066632,18831.4,0.975,19
m16,0,legacy,,20260729,21-25,5,2209.82,12929,501,133650,2558976,45303.4,0.988,45
m16,0,legacy,,20260729,all,25,3953.62,22537,1332,262760,3932940,69568.0,0.620,72
rpk,0,fixed,,20260729,1-5,5,82.42,186,57,5360,108,2.2,0.054,0
rpk,0,fixed,,20260729,6-10,5,175.48,1035,149,17640,2976,51.6,0.226,0
rpk,0,fixed,,20260729,11-15,5,400.42,2800,253,37440,228264,4039.9,0.902,5
rpk,0,fixed,,20260729,16-20,5,905.40,6617,372,75930,924036,16306.7,0.974,13
rpk,0,fixed,,20260729,21-25,5,1918.02,14274,501,144750,2197920,38864.7,0.986,34
rpk,0,fixed,,20260729,all,25,3481.73,24912,1332,281120,3353304,59265.1,0.628,52
rpk,0,legacy,,20260729,1-5,5,84.33,186,57,5360,108,2.2,0.053,0
rpk,0,legacy,,20260729,6-10,5,184.78,1035,149,17800,3744,69.0,0.233,0
rpk,0,legacy,,20260729,11-15,5,437.82,2800,253,37560,279528,4946.2,0.926,5
rpk,0,legacy,,20260729,16-20,5,995.82,6617,372,75970,1030380,18185.6,0.976,13
rpk,0,legacy,,20260729,21-25,5,2115.67,14274,501,144710,2433720,43066.1,0.988,34
rpk,0,legacy,,20260729,all,25,3818.42,24912,1332,281400,3747480,66269.2,0.635,52
pm63,0,fixed,,20260729,1-5,5,80.03,289,57,6100,36,0.8,0.017,0
pm63,0,fixed,,20260729,6-10,5,254.25,1645,149,22600,57012,1004.8,0.611,5
pm63,0,fixed,,20260729,11-15,5,668.73,4513,253,51590,558696,9910.2,0.957,20
pm63,0,fixed,,20260729,16-20,5,1572.82,10787,372,108830,1694892,29971.2,0.983,51
pm63,0,fixed,,20260729,21-25,5,3430.03,23755,501,217120,4009200,71150.3,0.992,116
pm63,0,fixed,,20260729,all,25,6005.87,40989,1332,406240,6319836,112037.3,0.712,192
pm63,0,legacy,,20260729,1-5,5,79.67,289,57,6100,36,0.7,0.014,0
pm63,0,legacy,,20260729,6-10,5,264.63,1645,149,22600,65808,1163.7,0.670,5
pm63,0,legacy,,20260729,11-15,5,697.25,4513,253,51350,590556,10476.1,0.959,20
pm63,0,legacy,,20260729,16-20,5,1640.35,10787,372,108830,1772256,31349.0,0.984,51
pm63,0,legacy,,20260729,21-25,5,3577.02,23755,501,217120,4184028,74275.4,0.992,116
pm63,0,legacy,,20260729,all,25,6258.92,40989,1332,406000,6612684,117264.9,0.724,192
m1911,0,fixed,,20260729,1-5,5,122.20,360,57,6540,8712,158.6,0.380,2
m1911,0,fixed,,20260729,6-10,5,689.22,2145,149,26230,448584,7987.3,0.946,24
m1911,0,fixed,,20260729,11-15,5,1850.40,5792,253,61810,1814400,32179.2,0.987,70
m1911,0,fixed,,20260729,16-20,5,4499.63,14117,372,133900,5037948,89584.4,0.995,174
m1911,0,fixed,,20260729,21-25,5,9844.25,30903,501,273470,11664504,207147.9,0.997,384
m1911,0,fixed,,20260729,all,25,17005.70,53317,1332,501950,18974148,337057.4,0.861,654
m1911,0,legacy,,20260729,1-5,5,123.68,360,57,6540,9144,166.9,0.386,2
m1911,0,legacy,,20260729,6-10,5,698.47,2145,149,26230,456384,8131.2,0.948,24
m1911,0,legacy,,20260729,11-15,5,1875.62,5792,253,61810,1840644,32648.7,0.987,70
m1911,0,legacy,,20260729,16-20,5,4561.28,14117,372,133900,5108556,90837.5,0.995,174
m1911,0,legacy,,20260729,21-25,5,9979.32,30903,501,273470,11827224,210014.0,0.997,384
m1911,0,legacy,,20260729,all,25,17238.37,53317,1332,501950,19241952,341798.3,0.863,654
