gun,pap,cadence,perks,seed,round,dog,count,hp_each,total_hp,max_alive,spawn_interval,walk,run,sprint,time_to_clear_s,shots,hits,kills,reload_s,hp_per_s,points,drops,refills,damage_taken,hp_bars,contact_frac,contact_zsec,peak_alive,first_contact_s,trap_buys,trap_kills,trap_spend,wallet
mp40,0,fixed,dtap,20260729,1,0,6,150,900,24,1.379,6,0,0,8.80,13,10,6,6.95,102.3,560,0,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,1060
mp40,0,fixed,dtap,20260729,2,0,10,250,2500,24,1.375,10,0,0,15.78,35,25,10,13.90,158.4,950,1,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,2010
mp40,0,fixed,dtap,20260729,3,0,14,350,4900,24,1.323,14,0,0,19.57,60,47,14,16.22,250.4,1410,1,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,3420
mp40,0,fixed,dtap,20260729,4,0,18,450,8100,24,1.324,18,0,0,25.40,82,67,18,20.85,318.9,1770,2,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,5190
mp40,0,fixed,dtap,20260729,5,1,9,550,3069,8,0.700,6,3,0,8.85,30,27,9,6.95,346.8,880,0,0,36,0.4,0.026,0.2,4,8.62,0,0,0,6070
mp40,0,fixed,dtap,20260729,6,0,27,650,17290,24,1.197,18,9,0,33.50,185,144,27,23.17,516.1,3190,1,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,9260
mp40,0,fixed,dtap,20260729,7,0,31,750,22200,24,1.129,17,14,0,37.25,249,189,31,23.17,596.0,3840,2,0,0,0.0,0.000,0.0,4,-1.00,0,0,0,13100
mp40,0,fixed,dtap,20260729,8,0,36,850,30090,24,1.113,26,10,0,45.98,314,244,36,27.80,654.4,4800,4,1,0,0.0,0.007,0.3,5,30.28,0,0,0,17900
mp40,0,fixed,dtap,20260729,9,0,41,950,38000,24,1.093,15,26,0,55.50,408,308,41,32.43,684.7,5730,2,1,3960,39.6,0.380,67.1,9,10.05,0,0,0,23630
mp40,0,fixed,dtap,20260729,10,1,14,1045,9071,8,0.441,2,10,2,15.05,97,78,14,9.27,602.7,1760,0,0,1260,12.6,0.594,26.9,8,6.12,0,0,0,25390
mp40,0,fixed,dtap,20260729,11,0,51,1150,58420,24,0.969,13,31,7,80.93,623,484,51,46.33,721.8,8310,3,2,35400,354.0,0.859,618.7,20,6.25,0,0,0,33700
mp40,0,fixed,dtap,20260729,12,0,56,1265,69575,24,0.951,18,32,6,96.88,752,574,56,55.60,718.1,9180,4,2,56940,569.4,0.911,1000.7,24,6.18,0,0,0,42880
mp40,0,fixed,dtap,20260729,13,0,61,1392,82963,24,0.879,5,36,20,109.62,863,663,61,62.55,756.8,10760,2,3,81240,812.4,0.936,1425.5,24,5.12,0,0,0,53640
mp40,0,fixed,dtap,20260729,14,0,67,1531,100127,24,0.857,11,29,27,131.30,1008,792,67,76.45,762.6,12150,4,3,110700,1107.0,0.952,1957.2,24,6.27,0,0,0,65790
mp40,0,fixed,dtap,20260729,15,1,18,1684,18793,8,0.218,0,11,7,24.18,181,153,18,13.90,777.1,2830,2,0,4680,46.8,0.877,110.3,8,2.48,0,0,0,68620
mp40,0,fixed,dtap,20260729,16,0,78,1852,141122,24,0.750,8,33,37,179.67,1409,1105,78,104.25,785.5,16110,3,5,178200,1782.0,0.969,3139.4,24,2.97,0,0,0,84730
mp40,0,fixed,dtap,20260729,17,0,83,2037,167034,24,0.715,0,27,56,211.95,1672,1309,83,122.78,788.1,18760,3,6,221820,2218.2,0.980,3907.5,24,4.22,0,0,0,103490
mp40,0,fixed,dtap,20260729,18,0,89,2241,195863,24,0.669,0,35,54,249.87,1959,1516,89,145.95,783.9,21010,4,7,266040,2660.4,0.985,4683.0,24,3.67,0,0,0,124500
mp40,0,fixed,dtap,20260729,19,1,21,2465,32094,8,0.199,0,6,15,43.27,329,255,21,25.48,741.8,3840,1,1,9972,99.7,0.945,237.1,8,2.40,0,0,0,128340
mp40,0,fixed,dtap,20260729,20,0,101,2712,271742,24,0.609,0,36,65,341.75,2719,2118,101,199.23,795.1,27630,2,10,388380,3883.8,0.991,6831.8,24,3.20,0,0,0,155970
