gun,pap,cadence,perks,seed,round,dog,count,hp_each,total_hp,max_alive,spawn_interval,walk,run,sprint,time_to_clear_s,shots,hits,kills,reload_s,hp_per_s,points,drops,refills,damage_taken,hp_bars,contact_frac,contact_zsec,peak_alive,first_contact_s,trap_buys,trap_kills,trap_spend,wallet
mp40,0,fixed,dtap+speed,20260729,1,0,6,150,900,24,1.379,6,0,0,8.42,13,10,6,5.75,106.9,560,0,0,0,0.0,0.000,0.0,1,-1.00,0,0,0,1060
mp40,0,fixed,dtap+speed,20260729,2,0,10,250,2500,24,1.375,10,0,0,13.97,35,25,10,11.50,179.0,950,1,0,0,0.0,0.000,0.0,1,-1.00,0,0,0,2010
mp40,0,fixed,dtap+speed,20260729,3,0,14,350,4900,24,1.323,14,0,0,18.95,60,47,14,16.10,258.6,1410,1,0,0,0.0,0.000,0.0,1,-1.00,0,0,0,3420
mp40,0,fixed,dtap+speed,20260729,4,0,18,450,8100,24,1.324,18,0,0,24.25,82,67,18,20.70,334.0,1770,2,0,0,0.0,0.000,0.0,1,-1.00,0,0,0,5190
mp40,0,fixed,dtap+speed,20260729,5,1,9,550,3069,8,0.700,6,3,0,7.45,30,27,9,5.75,411.9,880,0,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,6070
mp40,0,fixed,dtap+speed,20260729,6,0,27,650,17290,24,1.197,18,9,0,33.23,185,144,27,24.15,520.3,3150,1,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,9220
mp40,0,fixed,dtap+speed,20260729,7,0,31,750,22200,24,1.129,17,14,0,35.73,249,189,31,23.00,621.3,3840,2,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,13060
mp40,0,fixed,dtap+speed,20260729,8,0,36,850,30090,24,1.113,26,10,0,41.37,306,240,36,24.15,727.4,4640,3,1,0,0.0,0.000,0.0,2,-1.00,0,0,0,17700
mp40,0,fixed,dtap+speed,20260729,9,0,41,950,38000,24,1.093,15,26,0,45.98,406,305,41,24.15,826.4,5740,3,1,0,0.0,0.000,0.0,3,-1.00,0,0,0,23440
mp40,0,fixed,dtap+speed,20260729,10,1,14,1045,9071,8,0.441,2,10,2,10.25,95,76,14,4.60,884.9,1580,0,0,288,2.9,0.307,6.3,5,6.28,0,0,0,25020
mp40,0,fixed,dtap+speed,20260729,11,0,51,1150,58420,24,0.969,13,31,7,58.52,622,484,51,24.15,998.3,8270,3,2,3780,37.8,0.473,59.7,7,17.30,0,0,0,33290
mp40,0,fixed,dtap+speed,20260729,12,0,56,1265,69575,24,0.951,18,32,6,69.65,747,572,56,28.75,998.9,9120,4,2,13560,135.6,0.698,231.6,13,12.00,0,0,0,42410
mp40,0,fixed,dtap+speed,20260729,13,0,61,1392,82963,24,0.879,5,36,20,80.45,862,663,61,33.35,1031.2,10640,2,3,35760,357.6,0.824,624.5,21,5.12,0,0,0,53050
mp40,0,fixed,dtap+speed,20260729,14,0,67,1531,100127,24,0.857,11,29,27,91.73,1008,789,67,36.80,1091.5,12040,4,3,56760,567.6,0.910,990.5,24,6.27,0,0,0,65090
mp40,0,fixed,dtap+speed,20260729,15,1,18,1684,18793,8,0.218,0,11,7,17.25,184,155,18,6.90,1089.5,2770,2,0,2772,27.7,0.812,65.9,8,3.25,0,0,0,67860
mp40,0,fixed,dtap+speed,20260729,16,0,78,1852,141122,24,0.750,8,33,37,127.57,1414,1107,78,51.75,1106.3,16090,3,5,112200,1122.0,0.951,1978.3,24,6.22,0,0,0,83950
mp40,0,fixed,dtap+speed,20260729,17,0,83,2037,167034,24,0.715,0,27,56,149.43,1660,1306,83,60.95,1117.8,18290,3,6,145500,1455.0,0.972,2568.1,24,4.22,0,0,0,102240
mp40,0,fixed,dtap+speed,20260729,18,0,89,2241,195863,24,0.669,0,35,54,177.42,1975,1523,89,72.45,1104.0,21040,4,7,179460,1794.6,0.979,3159.6,24,3.67,0,0,0,123280
mp40,0,fixed,dtap+speed,20260729,19,1,21,2465,32094,8,0.199,0,6,15,30.30,327,255,21,12.65,1059.2,3920,1,1,6624,66.2,0.906,153.9,8,2.83,0,0,0,127200
mp40,0,fixed,dtap+speed,20260729,20,0,101,2712,271742,24,0.609,0,36,65,241.87,2722,2119,101,98.90,1123.5,28080,2,10,267120,2671.2,0.986,4689.4,24,3.50,0,0,0,155280
