gun,pap,cadence,perks,seed,round,dog,count,hp_each,total_hp,max_alive,spawn_interval,walk,run,sprint,time_to_clear_s,shots,hits,kills,reload_s,hp_per_s,points,drops,refills,damage_taken,hp_bars,contact_frac,contact_zsec,peak_alive,first_contact_s,trap_buys,trap_kills,trap_spend,wallet
mp40,0,fixed,speed,20260729,1,0,6,150,900,24,1.379,6,0,0,8.45,13,10,6,5.75,106.5,560,0,0,0,0.0,0.000,0.0,1,-1.00,0,0,0,1060
mp40,0,fixed,speed,20260729,2,0,10,250,2500,24,1.375,10,0,0,13.98,35,25,10,11.50,178.8,950,1,0,0,0.0,0.000,0.0,1,-1.00,0,0,0,2010
mp40,0,fixed,speed,20260729,3,0,14,350,4900,24,1.323,14,0,0,19.50,60,47,14,16.10,251.3,1410,1,0,0,0.0,0.000,0.0,1,-1.00,0,0,0,3420
mp40,0,fixed,speed,20260729,4,0,18,450,8100,24,1.324,18,0,0,25.00,93,78,18,19.55,324.0,1920,2,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,5340
mp40,0,fixed,speed,20260729,5,1,9,550,3069,8,0.700,6,3,0,7.23,37,28,9,4.60,424.3,1050,0,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,6390
mp40,0,fixed,speed,20260729,6,0,27,650,17290,24,1.197,18,9,0,33.97,203,161,27,20.70,509.0,3360,1,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,9750
mp40,0,fixed,speed,20260729,7,0,31,750,22200,24,1.129,17,14,0,35.58,268,204,31,17.25,623.9,4150,4,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,13900
mp40,0,fixed,speed,20260729,8,0,36,850,30090,24,1.113,26,10,0,41.92,353,273,36,17.25,717.9,5090,3,1,0,0.0,0.000,0.0,2,-1.00,0,0,0,18990
mp40,0,fixed,speed,20260729,9,0,41,950,38000,24,1.093,15,26,0,50.70,456,348,41,18.40,749.5,6210,2,1,1020,10.2,0.219,14.5,6,28.77,0,0,0,25200
mp40,0,fixed,speed,20260729,10,1,14,1045,9071,8,0.441,2,10,2,12.68,111,85,14,4.60,715.2,1750,0,0,684,6.8,0.486,16.1,6,6.28,0,0,0,26950
mp40,0,fixed,speed,20260729,11,0,51,1150,58420,24,0.969,13,31,7,73.85,688,536,51,25.30,791.1,8630,3,2,23400,234.0,0.772,408.8,17,14.30,0,0,0,35580
mp40,0,fixed,speed,20260729,12,0,56,1265,69575,24,0.951,18,32,6,89.47,833,634,56,31.05,777.7,9900,4,3,45300,453.0,0.889,793.6,23,9.32,0,0,0,45480
mp40,0,fixed,speed,20260729,13,0,61,1392,82963,24,0.879,5,36,20,104.57,985,753,61,35.65,793.4,11620,3,3,72660,726.6,0.913,1278.5,24,5.12,0,0,0,57100
mp40,0,fixed,speed,20260729,14,0,67,1531,100127,24,0.857,11,29,27,119.98,1126,899,67,41.40,834.5,13540,4,4,93780,937.8,0.931,1650.6,24,4.15,0,0,0,70640
mp40,0,fixed,speed,20260729,15,1,18,1684,18793,8,0.218,0,11,7,23.63,220,169,18,8.05,795.2,2950,1,0,4608,46.1,0.855,109.3,8,3.43,0,0,0,73590
mp40,0,fixed,speed,20260729,16,0,78,1852,141122,24,0.750,8,33,37,169.03,1596,1276,78,58.65,834.9,17740,4,6,162600,1626.0,0.964,2868.7,24,5.88,0,0,0,91330
mp40,0,fixed,speed,20260729,17,0,83,2037,167034,24,0.715,0,27,56,204.27,1931,1491,83,71.30,817.7,20540,3,7,211320,2113.2,0.979,3723.3,24,4.22,0,0,0,111870
mp40,0,fixed,speed,20260729,18,0,89,2241,195863,24,0.669,0,35,54,236.68,2259,1742,89,81.65,827.5,23350,4,8,252600,2526.0,0.985,4440.7,24,3.67,0,0,0,135220
mp40,0,fixed,speed,20260729,19,1,21,2465,32094,8,0.199,0,6,15,40.30,366,288,21,14.95,796.4,4330,1,1,9288,92.9,0.932,220.3,8,2.73,0,0,0,139550
mp40,0,fixed,speed,20260729,20,0,101,2712,271742,24,0.609,0,36,65,322.10,3082,2403,101,111.55,843.7,30520,2,11,364140,3641.4,0.989,6405.7,24,3.50,0,0,0,170070
