gun,pap,cadence,perks,seed,round,dog,count,hp_each,total_hp,max_alive,spawn_interval,walk,run,sprint,time_to_clear_s,shots,hits,kills,reload_s,hp_per_s,points,drops,refills,damage_taken,hp_bars,contact_frac,contact_zsec,peak_alive,first_contact_s,trap_buys,trap_kills,trap_spend,wallet
mp40,0,fixed,,20260729,1,0,6,150,900,24,1.379,6,0,0,8.92,13,10,6,6.95,100.9,560,0,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,1060
mp40,0,fixed,,20260729,2,0,10,250,2500,24,1.375,10,0,0,16.20,35,25,10,13.90,154.3,950,1,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,2010
mp40,0,fixed,,20260729,3,0,14,350,4900,24,1.323,14,0,0,20.33,60,47,14,16.22,241.0,1410,1,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,3420
mp40,0,fixed,,20260729,4,0,18,450,8100,24,1.324,18,0,0,25.00,93,78,18,18.53,324.0,1920,2,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,5340
mp40,0,fixed,,20260729,5,1,9,550,3069,8,0.700,6,3,0,7.47,37,28,9,4.63,411.0,1050,0,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,6390
mp40,0,fixed,,20260729,6,0,27,650,17290,24,1.197,18,9,0,35.20,203,161,27,20.85,491.2,3360,1,0,0,0.0,0.005,0.2,4,26.23,1,0,1000,8750
mp40,0,fixed,,20260729,7,0,31,750,22200,24,1.129,17,14,0,39.52,259,196,31,20.85,561.8,3980,3,0,660,6.6,0.191,11.9,7,29.17,1,1,1000,11730
mp40,0,fixed,,20260729,8,0,36,850,30090,24,1.113,26,10,0,52.75,349,272,36,27.80,570.4,4800,4,1,5940,59.4,0.572,98.1,10,18.55,0,0,0,16530
mp40,0,fixed,,20260729,9,0,41,950,38000,24,1.093,15,26,0,65.25,433,328,41,34.75,582.4,5620,2,1,11760,117.6,0.600,202.2,13,15.52,1,3,1000,21150
mp40,0,fixed,,20260729,10,1,14,1045,9071,8,0.441,2,10,2,12.47,76,63,14,6.95,727.6,1250,0,0,684,6.8,0.583,16.4,8,5.20,1,4,1000,21400
mp40,0,fixed,,20260729,11,0,51,1150,58420,24,0.969,13,31,7,94.98,657,509,51,48.65,615.1,8260,3,2,52560,525.6,0.881,924.7,24,6.25,1,2,1000,28660
mp40,0,fixed,,20260729,12,0,56,1265,69575,24,0.951,18,32,6,106.12,721,560,56,55.60,655.6,8770,4,2,66300,663.0,0.948,1167.9,24,5.08,2,7,2000,35430
mp40,0,fixed,,20260729,13,0,61,1392,82963,24,0.879,5,36,20,120.25,826,626,61,62.55,689.9,9450,2,3,90180,901.8,0.937,1588.2,24,7.38,2,10,2000,42880
mp40,0,fixed,,20260729,14,0,67,1531,100127,24,0.857,11,29,27,133.82,923,730,67,69.50,748.2,10880,4,3,104460,1044.6,0.951,1846.2,24,6.27,2,13,2000,51760
mp40,0,fixed,,20260729,15,1,18,1684,18793,8,0.218,0,11,7,21.42,139,120,18,11.58,877.5,2210,1,0,3168,31.7,0.875,73.6,8,2.48,0,5,0,53970
mp40,0,fixed,,20260729,16,0,78,1852,141122,24,0.750,8,33,37,206.65,1451,1137,78,106.57,682.9,16030,4,5,205800,2058.0,0.975,3623.4,24,2.97,3,8,3000,67000
mp40,0,fixed,,20260729,17,0,83,2037,167034,24,0.715,0,27,56,222.83,1555,1222,83,115.83,749.6,16660,3,6,223860,2238.6,0.981,3950.4,24,4.22,3,15,3000,80660
mp40,0,fixed,,20260729,18,0,89,2241,195863,24,0.669,0,35,54,250.27,1755,1363,89,129.73,782.6,18280,4,6,245580,2455.8,0.985,4321.5,24,3.67,4,20,4000,94940
mp40,0,fixed,,20260729,19,1,21,2465,32094,8,0.199,0,6,15,42.90,285,218,21,23.17,748.1,3140,0,1,9252,92.5,0.944,218.2,8,2.40,1,5,1000,97080
mp40,0,fixed,,20260729,20,0,101,2712,271742,24,0.609,0,36,65,381.30,2698,2094,101,196.92,712.7,26650,3,10,425040,4250.4,0.992,7485.5,24,3.20,6,14,6000,117730
