gun,pap,cadence,perks,seed,round,dog,count,hp_each,total_hp,max_alive,spawn_interval,walk,run,sprint,time_to_clear_s,shots,hits,kills,reload_s,hp_per_s,points,drops,refills,damage_taken,hp_bars,contact_frac,contact_zsec,peak_alive,first_contact_s,trap_buys,trap_kills,trap_spend,wallet
m1911,0,fixed,,20260729,1,0,6,150,900,24,1.379,6,0,0,9.17,18,15,6,6.07,98.2,570,0,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,1070
m1911,0,fixed,,20260729,2,0,10,250,2500,24,1.375,10,0,0,17.15,52,38,10,10.62,145.8,1040,1,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,2110
m1911,0,fixed,,20260729,3,0,14,350,4900,24,1.323,14,0,0,31.03,90,73,14,19.72,157.9,1590,1,1,1260,12.6,0.456,20.2,6,16.35,0,0,0,3700
m1911,0,fixed,,20260729,4,0,18,450,8100,24,1.324,18,0,0,44.88,138,111,18,27.30,180.5,2370,2,1,5760,57.6,0.680,99.8,9,13.82,0,0,0,6070
m1911,0,fixed,,20260729,5,1,9,550,3069,8,0.700,6,3,0,19.97,62,48,9,12.13,153.7,970,0,0,1692,16.9,0.763,38.6,7,4.42,0,0,0,7040
m1911,0,fixed,,20260729,6,0,27,650,17290,24,1.197,18,9,0,103.12,320,243,27,62.18,167.7,4340,2,3,46020,460.2,0.939,812.7,19,4.13,0,0,0,11380
m1911,0,fixed,,20260729,7,0,31,750,22200,24,1.129,17,14,0,130.70,404,317,31,78.87,169.9,5160,3,5,78720,787.2,0.933,1387.4,23,4.33,0,0,0,16540
m1911,0,fixed,,20260729,8,0,36,850,30090,24,1.113,26,10,0,182.18,568,431,36,109.20,165.2,6590,4,7,133080,1330.8,0.966,2352.0,24,4.15,0,0,0,23130
m1911,0,fixed,,20260729,9,0,41,950,38000,24,1.093,15,26,0,220.17,687,541,41,131.95,172.6,8020,2,8,179640,1796.4,0.974,3170.7,24,5.65,0,0,0,31150
m1911,0,fixed,,20260729,10,1,14,1045,9071,8,0.441,2,10,2,53.05,166,126,14,31.85,171.0,2120,0,1,11124,111.2,0.919,264.5,8,4.30,0,0,0,33270
m1911,0,fixed,,20260729,11,0,51,1150,58420,24,0.969,13,31,7,342.03,1068,811,51,204.75,170.8,11460,3,13,329580,3295.8,0.987,5801.8,24,4.28,0,0,0,44730
m1911,0,fixed,,20260729,12,0,56,1265,69575,24,0.951,18,32,6,386.20,1210,952,56,230.53,180.2,13280,4,15,388200,3882.0,0.989,6840.1,24,4.22,0,0,0,58010
m1911,0,fixed,,20260729,13,0,61,1392,82963,24,0.879,5,36,20,457.40,1434,1125,61,273.00,181.4,15340,3,17,475620,4756.2,0.989,8391.9,24,5.05,0,0,0,73350
m1911,0,fixed,,20260729,14,0,67,1531,100127,24,0.857,11,29,27,556.30,1743,1377,67,332.15,180.0,17880,4,21,593100,5931.0,0.993,10477.5,24,4.15,0,0,0,91230
m1911,0,fixed,,20260729,15,1,18,1684,18793,8,0.218,0,11,7,108.47,337,267,18,65.22,173.3,3850,2,4,27900,279.0,0.977,667.9,8,2.48,0,0,0,95080
m1911,0,fixed,,20260729,16,0,78,1852,141122,24,0.750,8,33,37,802.80,2515,1930,78,479.27,175.8,24360,3,31,899520,8995.2,0.996,15922.1,24,2.97,0,0,0,119440
m1911,0,fixed,,20260729,17,0,83,2037,167034,24,0.715,0,27,56,926.07,2906,2257,83,552.07,180.4,28160,4,36,1052280,10522.8,0.996,18640.9,24,3.97,0,0,0,147600
m1911,0,fixed,,20260729,18,0,89,2241,195863,24,0.669,0,35,54,1066.22,3347,2637,89,635.48,183.7,32020,4,41,1228980,12289.8,0.997,21779.3,24,3.23,0,0,0,179620
m1911,0,fixed,,20260729,19,1,21,2465,32094,8,0.199,0,6,15,184.87,577,449,21,110.72,173.6,5860,1,7,49428,494.3,0.987,1179.8,8,2.40,0,0,0,185480
m1911,0,fixed,,20260729,20,0,101,2712,271742,24,0.609,0,36,65,1519.68,4772,3705,101,905.45,178.8,43500,2,59,1807740,18077.4,0.998,32062.3,24,3.20,0,0,0,228980
