gun,pap,cadence,perks,seed,round,dog,count,hp_each,total_hp,max_alive,spawn_interval,walk,run,sprint,time_to_clear_s,shots,hits,kills,reload_s,hp_per_s,points,drops,refills,damage_taken,hp_bars,contact_frac,contact_zsec,peak_alive,first_contact_s,trap_buys,trap_kills,trap_spend,wallet
m1911,0,fixed,,20260729,1,0,6,150,900,24,1.379,6,0,0,9.17,18,15,6,6.07,98.2,570,0,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,1070
m1911,0,fixed,,20260729,2,0,10,250,2500,24,1.375,10,0,0,17.15,52,38,10,10.62,145.8,1040,1,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,2110
m1911,0,fixed,,20260729,3,0,14,350,4900,24,1.323,14,0,0,31.03,90,73,14,19.72,157.9,1590,1,1,1260,12.6,0.456,20.2,6,16.35,0,0,0,3700
m1911,0,fixed,,20260729,4,0,18,450,8100,24,1.324,18,0,0,44.88,138,111,18,27.30,180.5,2370,2,1,5760,57.6,0.680,99.8,9,13.82,0,0,0,6070
m1911,0,fixed,,20260729,5,1,9,550,3069,8,0.700,6,3,0,19.97,62,48,9,12.13,153.7,970,0,0,1692,16.9,0.763,38.6,7,4.42,0,0,0,7040
m1911,0,fixed,,20260729,6,0,27,650,17290,24,1.197,18,9,0,74.55,228,177,27,45.50,231.9,2850,1,2,14880,148.8,0.683,262.6,11,23.62,2,11,2000,7890
m1911,0,fixed,,20260729,7,0,31,750,22200,24,1.129,17,14,0,113.38,352,274,31,68.25,195.8,4190,4,4,50340,503.4,0.877,890.2,19,13.95,1,6,1000,11080
m1911,0,fixed,,20260729,8,0,36,850,30090,24,1.113,26,10,0,93.13,289,223,36,56.12,323.1,3230,2,3,17940,179.4,0.885,314.5,11,4.15,2,20,2000,12310
m1911,0,fixed,,20260729,9,0,41,950,38000,24,1.093,15,26,0,167.42,524,404,41,100.10,227.0,6070,3,6,115200,1152.0,0.966,2038.5,24,5.65,2,10,2000,16380
m1911,0,fixed,,20260729,10,1,14,1045,9071,8,0.441,2,10,2,33.58,98,80,14,21.23,270.1,1410,0,1,4860,48.6,0.872,114.8,8,4.30,1,5,1000,16790
m1911,0,fixed,,20260729,11,0,51,1150,58420,24,0.969,13,31,7,258.73,809,625,51,154.70,225.8,8600,3,10,220620,2206.2,0.983,3887.1,24,4.28,4,12,4000,21390
m1911,0,fixed,,20260729,12,0,56,1265,69575,24,0.951,18,32,6,304.88,956,720,56,182.00,228.2,9980,4,11,272340,2723.4,0.986,4799.6,24,4.22,4,14,4000,27370
m1911,0,fixed,,20260729,13,0,61,1392,82963,24,0.879,5,36,20,258.73,809,633,61,154.70,320.7,8290,2,10,192540,1925.4,0.909,3394.3,24,23.50,4,29,4000,31660
m1911,0,fixed,,20260729,14,0,67,1531,100127,24,0.857,11,29,27,273.50,854,667,67,163.80,366.1,8610,4,10,188820,1888.2,0.913,3329.5,24,23.85,5,37,5000,35270
m1911,0,fixed,,20260729,15,1,18,1684,18793,8,0.218,0,11,7,7.20,21,12,18,4.55,2610.2,120,1,0,0,0.0,0.000,0.0,8,-1.00,0,18,0,35390
m1911,0,fixed,,20260729,16,0,78,1852,141122,24,0.750,8,33,37,462.03,1446,1154,78,276.03,305.4,14740,3,18,451500,4515.0,0.994,7968.3,24,2.97,7,30,7000,43130
m1911,0,fixed,,20260729,17,0,83,2037,167034,24,0.715,0,27,56,567.13,1779,1382,83,338.22,294.5,17200,4,22,568680,5686.8,0.993,10048.0,24,3.97,8,33,8000,52330
m1911,0,fixed,,20260729,18,0,89,2241,195863,24,0.669,0,35,54,480.05,1504,1153,89,286.65,408.0,14060,4,18,412200,4122.0,0.954,7276.9,24,21.93,8,52,8000,58390
m1911,0,fixed,,20260729,19,1,21,2465,32094,8,0.199,0,6,15,110.28,340,257,21,66.73,291.0,3290,1,4,24588,245.9,0.978,589.0,8,2.40,1,9,1000,60680
m1911,0,fixed,,20260729,20,0,101,2712,271742,24,0.609,0,36,65,628.65,1974,1544,101,374.62,432.3,18130,2,24,574260,5742.6,0.965,10149.1,24,22.15,10,60,10000,68810
