gun,stated_rpm,legacy_rpm,fixed_rpm,legacy_err_pct,fixed_err_pct,delivered_gain_pct
m1911,420.0,400.0,419.0,-4.76,-0.24,4.75
olympia,170.0,163.0,169.0,-4.12,-0.59,3.68
m14,420.0,400.0,419.0,-4.76,-0.24,4.75
mp40,880.0,720.0,880.0,-18.18,0.00,22.22
pm63,1000.0,900.0,1000.0,-10.00,0.00,11.11
ak74u,710.0,600.0,709.0,-15.49,-0.14,18.17
stakeout,145.0,144.0,144.0,-0.69,-0.69,0.00
m16,740.0,720.0,739.0,-2.70,-0.14,2.64
rpk,700.0,600.0,699.0,-14.29,-0.14,16.50
chinalake,62.0,61.0,62.0,-1.61,0.00,1.64
raygun,320.0,300.0,319.0,-6.25,-0.31,6.33
thundergun,52.0,51.0,52.0,-1.92,0.00,1.96
