gun,pap,cadence,perks,seed,round,dog,count,hp_each,total_hp,max_alive,spawn_interval,walk,run,sprint,time_to_clear_s,shots,hits,kills,reload_s,hp_per_s,points,drops,refills,damage_taken,hp_bars,contact_frac,contact_zsec,peak_alive,first_contact_s,trap_buys,trap_kills,trap_spend,wallet
rpk,0,fixed,,20260729,1,0,6,150,900,24,1.379,6,0,0,11.45,13,10,6,9.23,78.6,560,0,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,1060
rpk,0,fixed,,20260729,2,0,10,250,2500,24,1.375,10,0,0,16.50,30,20,10,13.85,151.5,860,1,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,1920
rpk,0,fixed,,20260729,3,0,14,350,4900,24,1.323,14,0,0,22.12,41,34,14,18.47,221.6,1320,1,0,0,0.0,0.000,0.0,4,-1.00,0,0,0,3240
rpk,0,fixed,,20260729,4,0,18,450,8100,24,1.324,18,0,0,25.32,77,63,18,18.47,319.9,1690,2,0,0,0.0,0.000,0.0,4,-1.00,0,0,0,4930
rpk,0,fixed,,20260729,5,1,9,550,3069,8,0.700,6,3,0,7.03,25,20,9,4.62,436.4,930,0,0,108,1.1,0.270,2.2,6,3.12,0,0,0,5860
rpk,0,fixed,,20260729,6,0,27,650,17290,24,1.197,18,9,0,37.23,160,127,27,23.08,464.4,2980,1,0,120,1.2,0.065,2.4,4,4.13,0,0,0,8840
rpk,0,fixed,,20260729,7,0,31,750,22200,24,1.129,17,14,0,35.92,196,153,31,18.47,618.1,3600,3,0,240,2.4,0.100,3.6,5,4.33,0,0,0,12440
rpk,0,fixed,,20260729,8,0,36,850,30090,24,1.113,26,10,0,41.78,261,196,36,18.47,720.1,4280,3,0,300,3.0,0.090,3.7,5,4.15,0,0,0,16720
rpk,0,fixed,,20260729,9,0,41,950,38000,24,1.093,15,26,0,47.87,329,258,41,18.47,793.9,5150,2,0,1020,10.2,0.213,12.8,5,5.65,0,0,0,21870
rpk,0,fixed,,20260729,10,1,14,1045,9071,8,0.441,2,10,2,12.68,89,69,14,4.62,715.2,1630,1,0,1296,13.0,0.661,29.0,8,4.30,0,0,0,23500
rpk,0,fixed,,20260729,11,0,51,1150,58420,24,0.969,13,31,7,78.02,514,392,51,32.32,748.8,6870,2,1,26880,268.8,0.868,467.4,17,4.28,0,0,0,30370
rpk,0,fixed,,20260729,12,0,56,1265,69575,24,0.951,18,32,6,79.32,580,452,56,27.70,877.2,7920,4,1,30900,309.0,0.871,543.1,18,4.22,0,0,0,38290
rpk,0,fixed,,20260729,13,0,61,1392,82963,24,0.879,5,36,20,98.80,699,535,61,36.93,839.7,9480,3,1,68700,687.0,0.914,1207.1,24,5.05,0,0,0,47770
rpk,0,fixed,,20260729,14,0,67,1531,100127,24,0.857,11,29,27,120.62,845,645,67,46.17,830.1,10720,4,2,96960,969.6,0.962,1709.4,24,4.15,0,0,0,58490
rpk,0,fixed,,20260729,15,1,18,1684,18793,8,0.218,0,11,7,23.67,162,123,18,9.23,794.1,2450,1,0,4824,48.2,0.895,112.8,8,2.48,0,0,0,60940
rpk,0,fixed,,20260729,16,0,78,1852,141122,24,0.750,8,33,37,160.35,1145,915,78,60.02,880.1,14370,3,2,150900,1509.0,0.980,2657.9,24,2.97,0,0,0,75310
rpk,0,fixed,,20260729,17,0,83,2037,167034,24,0.715,0,27,56,181.20,1331,1051,83,64.63,921.8,15980,4,3,187620,1876.2,0.978,3306.2,24,3.97,0,0,0,91290
rpk,0,fixed,,20260729,18,0,89,2241,195863,24,0.669,0,35,54,217.10,1587,1241,89,78.48,902.2,18100,4,3,228540,2285.4,0.985,4014.8,24,3.23,0,0,0,109390
rpk,0,fixed,,20260729,19,1,21,2465,32094,8,0.199,0,6,15,36.93,263,211,21,13.85,869.0,3480,0,0,8496,85.0,0.935,203.4,8,2.40,0,0,0,112870
rpk,0,fixed,,20260729,20,0,101,2712,271742,24,0.609,0,36,65,309.82,2291,1747,101,110.80,877.1,24000,2,5,348480,3484.8,0.990,6124.4,24,3.20,0,0,0,136870
