gun,pap,cadence,perks,seed,round,dog,count,hp_each,total_hp,max_alive,spawn_interval,walk,run,sprint,time_to_clear_s,shots,hits,kills,reload_s,hp_per_s,points,drops,refills,damage_taken,hp_bars,contact_frac,contact_zsec,peak_alive,first_contact_s,trap_buys,trap_kills,trap_spend,wallet
rpk,0,fixed,,20260729,1,0,6,150,900,24,1.379,6,0,0,11.45,13,10,6,9.23,78.6,560,0,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,1060
rpk,0,fixed,,20260729,2,0,10,250,2500,24,1.375,10,0,0,16.50,30,20,10,13.85,151.5,860,1,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,1920
rpk,0,fixed,,20260729,3,0,14,350,4900,24,1.323,14,0,0,22.12,41,34,14,18.47,221.6,1320,1,0,0,0.0,0.000,0.0,4,-1.00,0,0,0,3240
rpk,0,fixed,,20260729,4,0,18,450,8100,24,1.324,18,0,0,25.32,77,63,18,18.47,319.9,1690,2,0,0,0.0,0.000,0.0,4,-1.00,0,0,0,4930
rpk,0,fixed,,20260729,5,1,9,550,3069,8,0.700,6,3,0,7.03,25,20,9,4.62,436.4,930,0,0,108,1.1,0.270,2.2,6,3.12,0,0,0,5860
rpk,0,fixed,,20260729,6,0,27,650,17290,24,1.197,18,9,0,35.70,143,116,27,23.08,484.3,2770,1,0,300,3.0,0.109,4.0,5,24.55,1,2,1000,7630
rpk,0,fixed,,20260729,7,0,31,750,22200,24,1.129,17,14,0,36.07,198,153,31,18.47,615.5,3550,3,0,120,1.2,0.061,2.2,5,4.33,1,1,1000,10180
rpk,0,fixed,,20260729,8,0,36,850,30090,24,1.113,26,10,0,45.60,253,192,36,23.08,659.9,4270,2,0,120,1.2,0.042,1.9,6,23.17,0,1,0,14450
rpk,0,fixed,,20260729,9,0,41,950,38000,24,1.093,15,26,0,48.58,288,226,41,23.08,782.2,4770,2,0,300,3.0,0.059,2.8,5,5.65,1,6,1000,18220
rpk,0,fixed,,20260729,10,1,14,1045,9071,8,0.441,2,10,2,11.92,80,64,14,4.62,761.2,1420,1,0,1260,12.6,0.639,27.2,8,4.30,0,0,0,19640
rpk,0,fixed,,20260729,11,0,51,1150,58420,24,0.969,13,31,7,65.17,423,321,51,27.70,896.5,5730,2,1,4800,48.0,0.517,81.4,9,4.28,1,11,1000,24370
rpk,0,fixed,,20260729,12,0,56,1265,69575,24,0.951,18,32,6,64.07,463,360,56,23.08,1086.0,6170,4,0,4380,43.8,0.534,74.7,10,4.22,1,15,1000,29540
rpk,0,fixed,,20260729,13,0,61,1392,82963,24,0.879,5,36,20,73.53,519,400,61,27.70,1128.2,6670,2,1,15420,154.2,0.799,267.6,12,5.05,1,18,1000,35210
rpk,0,fixed,,20260729,14,0,67,1531,100127,24,0.857,11,29,27,93.00,639,486,67,36.93,1076.6,8090,4,1,31620,316.2,0.792,550.1,19,4.15,2,20,2000,41300
rpk,0,fixed,,20260729,15,1,18,1684,18793,8,0.218,0,11,7,20.13,123,90,18,9.23,933.4,1830,1,0,2844,28.4,0.791,65.7,8,4.22,0,5,0,43130
rpk,0,fixed,,20260729,16,0,78,1852,141122,24,0.750,8,33,37,112.68,813,623,78,41.55,1252.4,9680,3,1,79620,796.2,0.974,1407.7,24,2.97,2,25,2000,50810
rpk,0,fixed,,20260729,17,0,83,2037,167034,24,0.715,0,27,56,136.58,979,783,83,50.78,1222.9,11890,3,2,119160,1191.6,0.971,2100.2,24,3.97,2,21,2000,60700
rpk,0,fixed,,20260729,18,0,89,2241,195863,24,0.669,0,35,54,150.57,1089,860,89,55.40,1300.8,12540,4,2,132480,1324.8,0.979,2338.2,24,3.23,2,27,2000,71240
rpk,0,fixed,,20260729,19,1,21,2465,32094,8,0.199,0,6,15,26.22,193,157,21,9.23,1224.2,2650,0,0,5940,59.4,0.908,138.9,8,2.40,1,5,1000,72890
rpk,0,fixed,,20260729,20,0,101,2712,271742,24,0.609,0,36,65,196.15,1410,1103,101,73.87,1385.4,14840,2,3,180360,1803.6,0.933,3176.7,24,13.20,3,40,3000,84730
