gun,pap,cadence,perks,seed,round,dog,count,hp_each,total_hp,max_alive,spawn_interval,walk,run,sprint,time_to_clear_s,shots,hits,kills,reload_s,hp_per_s,points,drops,refills,damage_taken,hp_bars,contact_frac,contact_zsec,peak_alive,first_contact_s,trap_buys,trap_kills,trap_spend,wallet
mp40,0,fixed,,20260729,1,0,6,150,900,24,1.379,6,0,0,8.92,13,10,6,6.95,100.9,560,0,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,1060
mp40,0,fixed,,20260729,2,0,10,250,2500,24,1.375,10,0,0,16.20,35,25,10,13.90,154.3,950,1,0,0,0.0,0.000,0.0,2,-1.00,0,0,0,2010
mp40,0,fixed,,20260729,3,0,14,350,4900,24,1.323,14,0,0,20.33,60,47,14,16.22,241.0,1410,1,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,3420
mp40,0,fixed,,20260729,4,0,18,450,8100,24,1.324,18,0,0,25.00,93,78,18,18.53,324.0,1920,2,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,5340
mp40,0,fixed,,20260729,5,1,9,550,3069,8,0.700,6,3,0,7.47,37,28,9,4.63,411.0,1050,0,0,0,0.0,0.000,0.0,3,-1.00,0,0,0,6390
mp40,0,fixed,,20260729,6,0,27,650,17290,24,1.197,18,9,0,35.20,203,161,27,20.85,491.2,3360,1,0,0,0.0,0.005,0.2,4,26.23,1,0,1000,8750
mp40,0,fixed,,20260729,7,0,31,750,22200,24,1.129,17,14,0,38.40,245,186,31,20.85,578.1,3690,3,0,0,0.0,0.000,0.0,6,-1.00,1,4,1000,11440
mp40,0,fixed,,20260729,8,0,36,850,30090,24,1.113,26,10,0,48.22,318,244,36,25.48,624.1,4440,4,1,4080,40.8,0.540,68.1,9,18.55,1,4,1000,14880
mp40,0,fixed,,20260729,9,0,41,950,38000,24,1.093,15,26,0,66.73,449,343,41,34.75,569.4,6200,2,1,15360,153.6,0.696,267.1,14,14.68,1,0,1000,20080
mp40,0,fixed,,20260729,10,1,14,1045,9071,8,0.441,2,10,2,17.13,108,86,14,9.27,529.4,1720,0,0,2052,20.5,0.675,46.9,8,5.57,0,0,0,21800
mp40,0,fixed,,20260729,11,0,51,1150,58420,24,0.969,13,31,7,70.47,476,374,51,37.07,829.0,6100,2,1,13800,138.0,0.872,239.5,14,6.25,1,15,1000,26900
mp40,0,fixed,,20260729,12,0,56,1265,69575,24,0.951,18,32,6,98.47,678,527,56,50.97,706.6,8000,4,2,43320,433.2,0.851,761.4,21,6.18,2,11,2000,32900
mp40,0,fixed,,20260729,13,0,61,1392,82963,24,0.879,5,36,20,107.78,747,562,61,55.60,769.7,8480,2,2,67380,673.8,0.953,1188.5,24,5.05,2,15,2000,39380
mp40,0,fixed,,20260729,14,0,67,1531,100127,24,0.857,11,29,27,138.65,959,755,67,71.82,722.2,11270,4,3,117900,1179.0,0.970,2078.9,24,4.15,2,11,2000,48650
mp40,0,fixed,,20260729,15,1,18,1684,18793,8,0.218,0,11,7,21.45,142,101,18,11.58,876.2,1720,1,0,3564,35.6,0.880,83.2,8,2.48,1,7,1000,49370
mp40,0,fixed,,20260729,16,0,78,1852,141122,24,0.750,8,33,37,170.62,1194,943,78,88.03,827.1,13170,3,4,156420,1564.2,0.970,2763.7,24,2.97,3,20,3000,59540
mp40,0,fixed,,20260729,17,0,83,2037,167034,24,0.715,0,27,56,191.85,1339,1080,83,99.62,870.6,14840,3,5,186360,1863.6,0.978,3284.1,24,4.22,3,23,3000,71380
mp40,0,fixed,,20260729,18,0,89,2241,195863,24,0.669,0,35,54,218.95,1536,1178,89,113.52,894.6,15740,4,5,216000,2160.0,0.985,3802.2,24,3.23,4,29,4000,83120
mp40,0,fixed,,20260729,19,1,21,2465,32094,8,0.199,0,6,15,52.43,355,273,21,27.80,612.1,4050,1,1,12924,129.2,0.954,307.4,8,2.40,1,1,1000,86170
mp40,0,fixed,,20260729,20,0,101,2712,271742,24,0.609,0,36,65,317.08,2236,1726,101,164.48,857.0,21770,1,8,338700,3387.0,0.990,5957.3,24,3.20,5,30,5000,102940
